Model,Version,Tuned (Yes/No),MAE,RMSE,R2,TrainingTime,PredictionTime
Linear Regression,Default,No,10.0991,12.4145,0.9736,0.0799,0.0063
Decision Tree Regressor,Default,No,12.3176,16.4894,0.9534,0.0278,0.0088
Random Forest Regressor,Default,No,9.7862,12.9537,0.9712,0.8615,0.0195
Random Forest Regressor,Tuned,Yes,9.7415,12.9367,0.9713,9.6852,0.0232
Extra Trees Regressor,Default,No,10.3207,13.4999,0.9687,0.7706,0.02
Extra Trees Regressor,Tuned,Yes,9.9527,13.1326,0.9704,10.3027,0.0215
Gradient Boosting Regressor,Default,No,9.6967,12.2776,0.9742,0.2643,0.008
Gradient Boosting Regressor,Tuned,Yes,9.6952,12.0524,0.9751,3.5605,0.0062
